uid	similarity	catnum	ti_uid	gene	indication_mesh_id	indication_mesh_term	hcat	acat	ccat	hcatnum	acatnum	ccatnum	succ_p_1	succ_1_2	succ_2_3	succ_3_a	orphan	year_launch	arow	assoc_mesh_id	assoc_mesh_term	assoc_source	assoc_info	original_trait	original_link	assoc_year	pic_qtl_pval	pic_h4	af_gnomad_nfe	l2g_share	l2g_rank	cat	assoc_share	assoc_rank	source_name	abs_beta	abs_or	highest_phase_with_known_outcome	areas	genetic_insight	target_status	phase
DPEP1-D011014	0.268	3	DPEP1-D011014	DPEP1	D011014	Pneumonia	NA	Phase II	Phase II	NA	4	3	TRUE	TRUE	NA	NA	FALSE	NA	144066	D010003	Osteoarthritis	OTG	NA	Osteoarthritis	https://genetics.opentargets.org/study/GCST007093	2019	NA	NA	0.243065503320745	0.69	1	Phase II	0.69	1	GWAS	NA	NA	1	infection, respiratory	gwas	unsupported target	II
DPEP1-D058186	0.857	3	DPEP1-D058186	DPEP1	D058186	Acute Kidney Injury	NA	Phase II	Phase II	NA	4	3	TRUE	TRUE	NA	NA	FALSE	NA	144074	D051437	Renal Insufficiency	OTG	NA	Serum creatinine levels	https://genetics.opentargets.org/study/GCST90018979	2021	NA	NA	0.480412916887242	0.66	1	Phase II	0.66	1	GWAS	0.0194	NA	1	other	gwas	genetically supported target	II
DPP4-D000152	0.342	3	DPP4-D000152	DPP4	D000152	Acne Vulgaris	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	144448	D001172	Arthritis, Rheumatoid	OTG	NA	Rheumatoid arthritis [ACPA+ cases vs. all controls]	https://genetics.opentargets.org/study/GCST002433	2014	NA	NA	0.317945721334892	0.85	1	Phase II	0.85	1	GWAS	NA	1.5570000000000008	2	dermatology	both	unsupported target	II
DPP4-D001024	0.311	4	DPP4-D001024	DPP4	D001024	Aortic Valve Stenosis	NA	Phase III	Phase III	NA	5	4	TRUE	TRUE	TRUE	NA	FALSE	NA	144452	D001778	Blood Coagulation Disorders	OTG	NA	Hematocrit	https://genetics.opentargets.org/study/GCST90002304	2020	NA	NA	0.329845313921747	0.87	1	Phase III	0.87	1	GWAS	0.01085	NA	2	cardiovascular	both	unsupported target	III
DPP4-D001172	1	3	DPP4-D001172	DPP4	D001172	Arthritis, Rheumatoid	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	144448	D001172	Arthritis, Rheumatoid	OTG	NA	Rheumatoid arthritis [ACPA+ cases vs. all controls]	https://genetics.opentargets.org/study/GCST002433	2014	NA	NA	0.317945721334892	0.85	1	Phase II	0.85	1	GWAS	NA	1.5570000000000008	2	musculoskeletal, dermatology, immune	gwas	genetically supported target	II
DPP4-D003924	0.475	5	DPP4-D003924	DPP4	D003924	Diabetes Mellitus, Type 2	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	FALSE	2020	144503	D050171	Dyslipidemias	OTG	NA	Apolipoprotein A1 levels	https://genetics.opentargets.org/study/GCST90025955	2021	NA	NA	0.0600830521671425	0.58	1	Launched	0.58	1	GWAS	0.0307561999999999	NA	3	metabolic, endocrine	both	unsupported target	Launched
DPP4-D006086	0.402	3	DPP4-D006086	DPP4	D006086	Graft vs Host Disease	NA	Phase II	Phase II	NA	4	3	TRUE	TRUE	NA	NA	TRUE	NA	144472	D008232	Lymphoproliferative Disorders	OTG	NA	Monocyte count	https://genetics.opentargets.org/study/GCST90002340	2020	NA	NA	0.348602988953866	0.61	1	Phase II	0.61	1	GWAS	0.0134729999999999	NA	1	immune	gwas	unsupported target	II
DPP4-D006973	0.269	2	DPP4-D006973	DPP4	D006973	Hypertension	Phase I	NA	Phase I	2	NA	2	TRUE	FALSE	NA	NA	FALSE	NA	144452	D001778	Blood Coagulation Disorders	OTG	NA	Hematocrit	https://genetics.opentargets.org/study/GCST90002304	2020	NA	NA	0.329845313921747	0.87	1	Phase I	0.87	1	GWAS	0.01085	NA	1	cardiovascular	both	unsupported target	I
DPP4-D009203	0.434	3	DPP4-D009203	DPP4	D009203	Myocardial Infarction	NA	Phase II	Phase II	NA	4	3	TRUE	TRUE	NA	NA	FALSE	NA	144475	D009461	Neurologic Manifestations	OTG	NA	Hippocampal tail volume	https://genetics.opentargets.org/study/GCST006870	2018	NA	NA	0.594162204518741	0.53	1	Phase II	0.53	1	GWAS	11.92	NA	1	cardiovascular, signs/symptoms	gwas	unsupported target	II
DPP4-D009765	0.789	2	DPP4-D009765	DPP4	D009765	Obesity	Phase I	NA	Phase I	2	NA	2	TRUE	FALSE	NA	NA	FALSE	NA	144505	D056128	Obesity, Abdominal	OTG	NA	Waist-hip ratio	https://genetics.opentargets.org/study/GCST008996	2018	NA	NA	0.0138690861957226	0.81	1	Phase I	0.81	1	GWAS	0.0538	NA	1	metabolic, signs/symptoms	both	unsupported target	I
DPP4-D010190	0.239	3	DPP4-D010190	DPP4	D010190	Pancreatic Neoplasms	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	144452	D001778	Blood Coagulation Disorders	OTG	NA	Hematocrit	https://genetics.opentargets.org/study/GCST90002304	2020	NA	NA	0.329845313921747	0.87	1	Phase II	0.87	1	GWAS	0.01085	NA	2	oncology	gwas	unsupported target	II
