uid	similarity	catnum	ti_uid	gene	indication_mesh_id	indication_mesh_term	hcat	acat	ccat	hcatnum	acatnum	ccatnum	succ_p_1	succ_1_2	succ_2_3	succ_3_a	orphan	year_launch	arow	assoc_mesh_id	assoc_mesh_term	assoc_source	assoc_info	original_trait	original_link	assoc_year	pic_qtl_pval	pic_h4	af_gnomad_nfe	l2g_share	l2g_rank	cat	assoc_share	assoc_rank	source_name	abs_beta	abs_or	highest_phase_with_known_outcome	areas	genetic_insight	target_status	phase
IL21-D003424	0.435	3	IL21-D003424	IL21	D003424	Crohn Disease	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	TRUE	NA	243923	D002761	Cholangitis	OTG	NA	Primary biliary cholangitis	https://genetics.opentargets.org/study/GCST004302	2017	NA	NA	0.0556275933609958	0.83	1	Phase II	0.83	1	GWAS	NA	1.29	2	digestive	both	unsupported target	II
IL21-D003922	0.565	3	IL21-D003922	IL21	D003922	Diabetes Mellitus, Type 1	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	TRUE	NA	243942	D007037	Hypothyroidism	OTG	NA	Hypothyroidism	https://genetics.opentargets.org/study/GCST007073	2018	NA	NA	0.311712764576029	0.53	1	Phase II	0.53	1	GWAS	NA	NA	2	metabolic, endocrine, immune	both	unsupported target	II
IL21-D008180	0.406	3	IL21-D008180	IL21	D008180	Lupus Erythematosus, Systemic	NA	Phase II	Phase II	NA	4	3	TRUE	TRUE	NA	NA	TRUE	NA	243908	D001249	Asthma	OTG	NA	Asthma (childhood onset)	https://genetics.opentargets.org/study/GCST009841	2019	NA	NA	0.460103963612736	0.74	1	Phase II	0.74	1	GWAS	NA	NA	1	dermatology, immune	both	unsupported target	II
IL21-D011565	0.447	2	IL21-D011565	IL21	D011565	Psoriasis	Phase I	NA	Phase I	2	NA	2	TRUE	FALSE	NA	NA	TRUE	NA	243904	D000506	Alopecia Areata	OTG	NA	Alopecia areata	https://genetics.opentargets.org/study/GCST004866	2015	NA	NA	0.35458089668616	0.51	1	Phase I	0.51	1	GWAS	NA	NA	1	dermatology	both	unsupported target	I
IL21R-D002289	0.773	3	IL21R-D002289	IL21R	D002289	Carcinoma, Non-Small-Cell Lung	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	TRUE	NA	243987	D001249	Asthma	OTG	NA	Asthma	https://genetics.opentargets.org/study/GCST90038616	2021	NA	NA	0.297891723060906	0.76	1	Phase II	0.76	1	GWAS	NA	1.00431144766199	2	oncology	both	unsupported target	II
IL21R-D003424	1	2	IL21R-D003424	IL21R	D003424	Crohn Disease	Phase I	NA	Phase I	2	NA	2	TRUE	FALSE	NA	NA	FALSE	NA	243996	D003424	Crohn Disease	OTG	NA	Second line medication for Crohns disease	https://genetics.opentargets.org/study/FINNGEN_R6_RX_CROHN_2NDLINE	2022	NA	NA	0.00745687978212943	0.72	1	Phase I	0.72	1	GWAS	NA	1.19925436359895	1	digestive	both	genetically supported target	I
IL21R-D007680	0.244	3	IL21R-D007680	IL21R	D007680	Kidney Neoplasms	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	TRUE	NA	244010	D006402	Hematologic Diseases	OTG	NA	Non-albumin protein levels	https://genetics.opentargets.org/study/GCST90019515	2021	NA	NA	0.874351659751037	0.79	1	Phase II	0.79	1	GWAS	0.0271	NA	2	oncology	both	unsupported target	II
IL21R-D008180	0.472	2	IL21R-D008180	IL21R	D008180	Lupus Erythematosus, Systemic	Phase I	NA	Phase I	2	NA	2	TRUE	FALSE	NA	NA	FALSE	NA	244020	D014923	Wiskott-Aldrich Syndrome	OMIM	NA	Immunodeficiency 56, 615207 (3), Autosomal recessive	https://omim.org/entry/605383	NA	NA	NA	NA	NA	NA	Phase I	NA	NA	OMIM	NA	NA	1	dermatology, immune	both	unsupported target	I
IL21R-D008228	0.519	3	IL21R-D008228	IL21R	D008228	Lymphoma, Non-Hodgkin	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	TRUE	NA	244010	D006402	Hematologic Diseases	OTG	NA	Non-albumin protein levels	https://genetics.opentargets.org/study/GCST90019515	2021	NA	NA	0.874351659751037	0.79	1	Phase II	0.79	1	GWAS	0.0271	NA	2	oncology	both	unsupported target	II
IL21R-D008545	0.254	3	IL21R-D008545	IL21R	D008545	Melanoma	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	TRUE	NA	244010	D006402	Hematologic Diseases	OTG	NA	Non-albumin protein levels	https://genetics.opentargets.org/study/GCST90019515	2021	NA	NA	0.874351659751037	0.79	1	Phase II	0.79	1	GWAS	0.0271	NA	2	oncology	both	unsupported target	II
IL21R-D009369	0.336	3	IL21R-D009369	IL21R	D009369	Neoplasms	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	TRUE	NA	244010	D006402	Hematologic Diseases	OTG	NA	Non-albumin protein levels	https://genetics.opentargets.org/study/GCST90019515	2021	NA	NA	0.874351659751037	0.79	1	Phase II	0.79	1	GWAS	0.0271	NA	2	oncology	gwas	unsupported target	II
IL21R-D010051	0.24	3	IL21R-D010051	IL21R	D010051	Ovarian Neoplasms	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	TRUE	NA	244010	D006402	Hematologic Diseases	OTG	NA	Non-albumin protein levels	https://genetics.opentargets.org/study/GCST90019515	2021	NA	NA	0.874351659751037	0.79	1	Phase II	0.79	1	GWAS	0.0271	NA	2	oncology	gwas	unsupported target	II
IL21R-D015179	0.599	3	IL21R-D015179	IL21R	D015179	Colorectal Neoplasms	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	TRUE	NA	243996	D003424	Crohn Disease	OTG	NA	Second line medication for Crohns disease	https://genetics.opentargets.org/study/FINNGEN_R6_RX_CROHN_2NDLINE	2022	NA	NA	0.00745687978212943	0.72	1	Phase II	0.72	1	GWAS	NA	1.19925436359895	2	oncology	both	unsupported target	II
IL21R-D016393	0.507	3	IL21R-D016393	IL21R	D016393	Lymphoma, B-Cell	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	TRUE	NA	244010	D006402	Hematologic Diseases	OTG	NA	Non-albumin protein levels	https://genetics.opentargets.org/study/GCST90019515	2021	NA	NA	0.874351659751037	0.79	1	Phase II	0.79	1	GWAS	0.0271	NA	2	oncology	both	unsupported target	II
IL22-D003093	0.2	2	IL22-D003093	IL22	D003093	Colitis, Ulcerative	Phase I	NA	Phase I	2	NA	2	TRUE	FALSE	NA	NA	FALSE	NA	244033	D004485	Eczema	OTG	NA	Eczema	https://genetics.opentargets.org/study/GCST90044763	2021	NA	NA	0.611046057767369	0.78	1	Phase I	0.78	1	GWAS	NA	1.08	1	digestive	both	unsupported target	I
IL22RA1-D001172	0.228	3	IL22RA1-D001172	IL22RA1	D001172	Arthritis, Rheumatoid	NA	Phase II	Phase II	NA	4	3	TRUE	TRUE	NA	NA	FALSE	NA	244050	D007249	Inflammation	OTG	NA	C-reactive protein levels	https://genetics.opentargets.org/study/GCST009777	2020	NA	NA	0.687857514300572	0.75	1	Phase II	0.75	1	GWAS	NA	NA	1	musculoskeletal, dermatology, immune	gwas	unsupported target	II
IL22RA1-D003093	0.211	3	IL22RA1-D003093	IL22RA1	D003093	Colitis, Ulcerative	NA	Phase II	Phase II	NA	4	3	TRUE	TRUE	NA	NA	FALSE	NA	244050	D007249	Inflammation	OTG	NA	C-reactive protein levels	https://genetics.opentargets.org/study/GCST009777	2020	NA	NA	0.687857514300572	0.75	1	Phase II	0.75	1	GWAS	NA	NA	1	digestive	both	unsupported target	II
IL22RA1-D003424	0.215	3	IL22RA1-D003424	IL22RA1	D003424	Crohn Disease	NA	Phase II	Phase II	NA	4	3	TRUE	TRUE	NA	NA	FALSE	NA	244050	D007249	Inflammation	OTG	NA	C-reactive protein levels	https://genetics.opentargets.org/study/GCST009777	2020	NA	NA	0.687857514300572	0.75	1	Phase II	0.75	1	GWAS	NA	NA	1	digestive	both	unsupported target	II
IL22RA1-D003876	0.207	3	IL22RA1-D003876	IL22RA1	D003876	Dermatitis, Atopic	NA	Phase II	Phase II	NA	4	3	TRUE	TRUE	NA	NA	FALSE	NA	244050	D007249	Inflammation	OTG	NA	C-reactive protein levels	https://genetics.opentargets.org/study/GCST009777	2020	NA	NA	0.687857514300572	0.75	1	Phase II	0.75	1	GWAS	NA	NA	1	congenital, dermatology, immune	gwas	unsupported target	II
IL22RA1-D006086	0.209	3	IL22RA1-D006086	IL22RA1	D006086	Graft vs Host Disease	NA	Phase II	Phase II	NA	4	3	TRUE	TRUE	NA	NA	TRUE	NA	244050	D007249	Inflammation	OTG	NA	C-reactive protein levels	https://genetics.opentargets.org/study/GCST009777	2020	NA	NA	0.687857514300572	0.75	1	Phase II	0.75	1	GWAS	NA	NA	1	immune	gwas	unsupported target	II
IL22RA1-D006519	0.197	3	IL22RA1-D006519	IL22RA1	D006519	Hepatitis, Alcoholic	NA	Phase II	Phase II	NA	4	3	TRUE	TRUE	NA	NA	TRUE	NA	244050	D007249	Inflammation	OTG	NA	C-reactive protein levels	https://genetics.opentargets.org/study/GCST009777	2020	NA	NA	0.687857514300572	0.75	1	Phase II	0.75	1	GWAS	NA	NA	1	digestive	gwas	unsupported target	II
IL22RA1-D008659	0.269	2	IL22RA1-D008659	IL22RA1	D008659	Metabolic Diseases	Phase I	NA	Phase I	2	NA	2	TRUE	FALSE	NA	NA	TRUE	NA	244050	D007249	Inflammation	OTG	NA	C-reactive protein levels	https://genetics.opentargets.org/study/GCST009777	2020	NA	NA	0.687857514300572	0.75	1	Phase I	0.75	1	GWAS	NA	NA	1	metabolic	both	unsupported target	I
IL22RA1-D011014	0.227	3	IL22RA1-D011014	IL22RA1	D011014	Pneumonia	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	244050	D007249	Inflammation	OTG	NA	C-reactive protein levels	https://genetics.opentargets.org/study/GCST009777	2020	NA	NA	0.687857514300572	0.75	1	Phase II	0.75	1	GWAS	NA	NA	2	infection, respiratory	gwas	unsupported target	II
IL22RA1-D011565	0.215	3	IL22RA1-D011565	IL22RA1	D011565	Psoriasis	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	244050	D007249	Inflammation	OTG	NA	C-reactive protein levels	https://genetics.opentargets.org/study/GCST009777	2020	NA	NA	0.687857514300572	0.75	1	Phase II	0.75	1	GWAS	NA	NA	2	dermatology	both	unsupported target	II
IL23A-D001172	0	3	IL23A-D001172	IL23A	D001172	Arthritis, Rheumatoid	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Phase II	NA	NA	NA	NA	NA	2	musculoskeletal, dermatology, immune	gwas	unsupported target	II
IL23A-D001249	0	3	IL23A-D001249	IL23A	D001249	Asthma	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Phase II	NA	NA	NA	NA	NA	2	respiratory, immune	both	unsupported target	II
IL23A-D003093	0	5	IL23A-D003093	IL23A	D003093	Colitis, Ulcerative	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Launched	NA	NA	NA	NA	NA	3	digestive	both	unsupported target	Launched
IL23A-D003424	0	5	IL23A-D003424	IL23A	D003424	Crohn Disease	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	TRUE	2020	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Launched	NA	NA	NA	NA	NA	3	digestive	both	unsupported target	Launched
IL23A-D003876	0	3	IL23A-D003876	IL23A	D003876	Dermatitis, Atopic	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Phase II	NA	NA	NA	NA	NA	2	congenital, dermatology, immune	gwas	unsupported target	II
IL23A-D003882	0	4	IL23A-D003882	IL23A	D003882	Dermatomyositis	NA	Phase III	Phase III	NA	5	4	TRUE	TRUE	TRUE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Phase III	NA	NA	NA	NA	NA	2	musculoskeletal, neurology, dermatology	both	unsupported target	III
IL23A-D003922	0	2	IL23A-D003922	IL23A	D003922	Diabetes Mellitus, Type 1	Phase I	NA	Phase I	2	NA	2	TRUE	FALSE	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Phase I	NA	NA	NA	NA	NA	1	metabolic, endocrine, immune	both	unsupported target	I
IL23A-D008105	0	3	IL23A-D008105	IL23A	D008105	Liver Cirrhosis, Biliary	NA	Phase II	Phase II	NA	4	3	TRUE	TRUE	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Phase II	NA	NA	NA	NA	NA	1	digestive, signs/symptoms	both	unsupported target	II
IL23A-D008113	0	2	IL23A-D008113	IL23A	D008113	Liver Neoplasms	Phase I	NA	Phase I	2	NA	2	TRUE	FALSE	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Phase I	NA	NA	NA	NA	NA	1	oncology	gwas	unsupported target	I
IL23A-D008180	0	4	IL23A-D008180	IL23A	D008180	Lupus Erythematosus, Systemic	Phase III	NA	Phase III	4	NA	4	TRUE	TRUE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Phase III	NA	NA	NA	NA	NA	3	dermatology, immune	both	unsupported target	III
IL23A-D008181	0	3	IL23A-D008181	IL23A	D008181	Lupus Nephritis	NA	Phase II	Phase II	NA	4	3	TRUE	TRUE	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Phase II	NA	NA	NA	NA	NA	1	dermatology, immune	both	unsupported target	II
IL23A-D009103	0	3	IL23A-D009103	IL23A	D009103	Multiple Sclerosis	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Phase II	NA	NA	NA	NA	NA	2	neurology, immune	both	unsupported target	II
IL23A-D010916	0	3	IL23A-D010916	IL23A	D010916	Pityriasis Rubra Pilaris	NA	Phase II	Phase II	NA	4	3	TRUE	TRUE	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Phase II	NA	NA	NA	NA	NA	1	dermatology	both	unsupported target	II
IL23A-D011565	0	5	IL23A-D011565	IL23A	D011565	Psoriasis	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	TRUE	2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Launched	NA	NA	NA	NA	NA	3	dermatology	both	unsupported target	Launched
IL23A-D012507	0	3	IL23A-D012507	IL23A	D012507	Sarcoidosis	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Phase II	NA	NA	NA	NA	NA	2	hematology	gwas	unsupported target	II
IL23A-D012595	0	3	IL23A-D012595	IL23A	D012595	Scleroderma, Systemic	NA	Phase II	Phase II	NA	4	3	TRUE	TRUE	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Phase II	NA	NA	NA	NA	NA	1	dermatology	gwas	unsupported target	II
IL23A-D013167	0	4	IL23A-D013167	IL23A	D013167	Spondylitis, Ankylosing	NA	Phase III	Phase III	NA	5	4	TRUE	TRUE	TRUE	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Phase III	NA	NA	NA	NA	NA	2	musculoskeletal	both	unsupported target	III
IL23A-D013625	0	4	IL23A-D013625	IL23A	D013625	Takayasu Arteritis	NA	Phase III	Phase III	NA	5	4	TRUE	TRUE	TRUE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Phase III	NA	NA	NA	NA	NA	2	cardiovascular, dermatology	both	unsupported target	III
IL23A-D014657	0	3	IL23A-D014657	IL23A	D014657	Vasculitis	NA	Phase II	Phase II	NA	4	3	TRUE	TRUE	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Phase II	NA	NA	NA	NA	NA	1	cardiovascular	both	unsupported target	II
IL23A-D015535	0	5	IL23A-D015535	IL23A	D015535	Arthritis, Psoriatic	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Launched	NA	NA	NA	NA	NA	3	musculoskeletal, dermatology	both	unsupported target	Launched
IL23A-D017099	0	2	IL23A-D017099	IL23A	D017099	IgG Deficiency	Phase I	NA	Phase I	2	NA	2	TRUE	FALSE	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Phase I	NA	NA	NA	NA	NA	1	hematology, immune	both	unsupported target	I
IL23A-D017285	0	4	IL23A-D017285	IL23A	D017285	Polymyositis	NA	Phase III	Phase III	NA	5	4	TRUE	TRUE	TRUE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Phase III	NA	NA	NA	NA	NA	2	musculoskeletal, neurology	both	unsupported target	III
IL23A-D045743	0	3	IL23A-D045743	IL23A	D045743	Scleroderma, Diffuse	NA	Phase II	Phase II	NA	4	3	TRUE	TRUE	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Phase II	NA	NA	NA	NA	NA	1	dermatology	gwas	unsupported target	II
IL23A-D045745	0	3	IL23A-D045745	IL23A	D045745	Scleroderma, Limited	NA	Phase II	Phase II	NA	4	3	TRUE	TRUE	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Phase II	NA	NA	NA	NA	NA	1	dermatology	gwas	unsupported target	II
IL23R-D001327	0.484	2	IL23R-D001327	IL23R	D001327	Autoimmune Diseases	Phase I	NA	Phase I	2	NA	2	TRUE	FALSE	NA	NA	FALSE	NA	244152	D006967	Hypersensitivity	PICCOLO	Plasma-pQTL	inflammatory_skin_disease	https://www.ncbi.nlm.nih.gov/pubmed/25574825	2015	1.3e-6	0.983552	NA	NA	NA	Phase I	NA	NA	GWAS	NA	NA	1	immune	both	unsupported target	I
IL23R-D003093	1	3	IL23R-D003093	IL23R	D003093	Colitis, Ulcerative	NA	Phase II	Phase II	NA	4	3	TRUE	TRUE	NA	NA	FALSE	NA	244103	D003093	Colitis, Ulcerative	OTG	NA	Ulcerative colitis	https://genetics.opentargets.org/study/GCST000527	2009	NA	NA	0.0638863665845116	0.52	1	Phase II	0.52	1	GWAS	NA	NA	1	digestive	both	genetically supported target	II
IL23R-D011565	1	4	IL23R-D011565	IL23R	D011565	Psoriasis	NA	Phase III	Phase III	NA	5	4	TRUE	TRUE	TRUE	NA	FALSE	NA	244160	D011565	Psoriasis	OTG	NA	Psoriasis	https://genetics.opentargets.org/study/GCST004346	2017	NA	NA	0.063731846473029	0.53	1	Phase III	0.53	1	GWAS	0.3904	NA	2	dermatology	both	genetically supported target	III
IL23R-D015535	0.952	2	IL23R-D015535	IL23R	D015535	Arthritis, Psoriatic	Phase I	NA	Phase I	2	NA	2	TRUE	FALSE	NA	NA	FALSE	NA	244169	D013167	Spondylitis, Ankylosing	OTG	NA	Ankylosing spondylitis	https://genetics.opentargets.org/study/GCST000563	2010	NA	NA	0.0638863665845116	0.52	1	Phase I	0.52	1	GWAS	NA	NA	1	musculoskeletal, dermatology	both	genetically supported target	I
IL24-D006258	0.036	2	IL24-D006258	IL24	D006258	Head and Neck Neoplasms	Phase I	NA	Phase I	2	NA	2	TRUE	FALSE	NA	NA	FALSE	NA	244204	D015415	Biomarkers	OTG	NA	Blood protein levels [EA, Polymeric immunoglobulin receptor]	https://genetics.opentargets.org/study/GCST004365_246	2017	NA	NA	0.45326129410233	0.61	1	Phase I	0.61	1	GWAS	NA	NA	1	oncology	both	unsupported target	I
IL27-D000326	0.543	4	IL27-D000326	IL27	D000326	Adrenoleukodystrophy	Phase III	NA	Phase III	4	NA	4	TRUE	TRUE	TRUE	FALSE	TRUE	NA	244257	D003920	Diabetes Mellitus	OTG	NA	Hemoglobin A1c levels	https://genetics.opentargets.org/study/GCST90025974	2021	NA	NA	0.339339144009366	0.55	1	Phase III	0.55	1	GWAS	0.0174353	NA	3	neurology, congenital, metabolic, endocrine	both	unsupported target	III
IL27-D002289	0.218	3	IL27-D002289	IL27	D002289	Carcinoma, Non-Small-Cell Lung	NA	Phase II	Phase II	NA	4	3	TRUE	TRUE	NA	NA	TRUE	NA	244257	D003920	Diabetes Mellitus	OTG	NA	Hemoglobin A1c levels	https://genetics.opentargets.org/study/GCST90025974	2021	NA	NA	0.339339144009366	0.55	1	Phase II	0.55	1	GWAS	0.0174353	NA	1	oncology	both	unsupported target	II
IL27-D006561	0.228	3	IL27-D006561	IL27	D006561	Herpes Simplex	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	TRUE	NA	244257	D003920	Diabetes Mellitus	OTG	NA	Hemoglobin A1c levels	https://genetics.opentargets.org/study/GCST90025974	2021	NA	NA	0.339339144009366	0.55	1	Phase II	0.55	1	GWAS	0.0174353	NA	2	infection, dermatology	both	unsupported target	II
IL27-D006562	0.227	3	IL27-D006562	IL27	D006562	Herpes Zoster	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	TRUE	NA	244257	D003920	Diabetes Mellitus	OTG	NA	Hemoglobin A1c levels	https://genetics.opentargets.org/study/GCST90025974	2021	NA	NA	0.339339144009366	0.55	1	Phase II	0.55	1	GWAS	0.0174353	NA	2	infection	gwas	unsupported target	II
IL27-D007680	0.227	3	IL27-D007680	IL27	D007680	Kidney Neoplasms	NA	Phase II	Phase II	NA	4	3	TRUE	TRUE	NA	NA	TRUE	NA	244257	D003920	Diabetes Mellitus	OTG	NA	Hemoglobin A1c levels	https://genetics.opentargets.org/study/GCST90025974	2021	NA	NA	0.339339144009366	0.55	1	Phase II	0.55	1	GWAS	0.0174353	NA	1	oncology	both	unsupported target	II
IL27-D008113	0.46	3	IL27-D008113	IL27	D008113	Liver Neoplasms	NA	Phase II	Phase II	NA	4	3	TRUE	TRUE	NA	NA	TRUE	NA	244283	D015212	Inflammatory Bowel Diseases	PICCOLO	Serum-cis-pQTL	inflammatory_bowel_disease	https://www.ncbi.nlm.nih.gov/pubmed/28067908	2017	8.7e-12	0.980395	NA	NA	NA	Phase II	NA	NA	GWAS	NA	NA	1	oncology	gwas	unsupported target	II
IL27-D009103	0.651	2	IL27-D009103	IL27	D009103	Multiple Sclerosis	Phase I	NA	Phase I	2	NA	2	TRUE	FALSE	NA	NA	TRUE	NA	244262	D003922	Diabetes Mellitus, Type 1	PICCOLO	gtex-v6p-liver	type_1_diabetes	https://www.ncbi.nlm.nih.gov/pubmed/19430480	2009	4.18e-11	0.971632	NA	NA	NA	Phase I	NA	NA	GWAS	NA	NA	1	neurology, immune	both	unsupported target	I
IL2RA-D001172	1	5	IL2RA-D001172	IL2RA	D001172	Arthritis, Rheumatoid	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	TRUE	NA	244335	D001172	Arthritis, Rheumatoid	OTG	NA	Rheumatoid arthritis	https://genetics.opentargets.org/study/GCST002318	2013	NA	NA	0.4234228362878	0.85	1	Launched	0.85	1	GWAS	NA	1.1	3	musculoskeletal, dermatology, immune	gwas	genetically supported target	Launched
IL2RA-D001749	0.234	5	IL2RA-D001749	IL2RA	D001749	Urinary Bladder Neoplasms	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	FALSE	NA	244401	D006402	Hematologic Diseases	OTG	NA	Lymphocyte percentage of white cells	https://genetics.opentargets.org/study/GCST004632	2016	NA	NA	0.0793506493506494	0.75	1	Launched	0.75	1	GWAS	0.03780895	NA	3	oncology	both	unsupported target	Launched
IL2RA-D001943	0.494	5	IL2RA-D001943	IL2RA	D001943	Breast Neoplasms	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	FALSE	NA	244381	D004485	Eczema	OTG	NA	Eczema	https://genetics.opentargets.org/study/GCST007075	2018	NA	NA	0.0793506493506494	0.83	1	Launched	0.83	1	GWAS	NA	NA	3	oncology	both	unsupported target	Launched
IL2RA-D001989	0.769	2	IL2RA-D001989	IL2RA	D001989	Bronchiolitis Obliterans	Phase I	NA	Phase I	2	NA	2	TRUE	FALSE	NA	NA	FALSE	NA	244343	D001249	Asthma	OTG	NA	Asthma [conditional]	https://genetics.opentargets.org/study/GCST009720_2	2019	NA	NA	0.105464693665628	0.57	1	Phase I	0.57	1	GWAS	NA	NA	1	respiratory	gwas	unsupported target	I
IL2RA-D002177	0.392	5	IL2RA-D002177	IL2RA	D002177	Candidiasis	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	FALSE	NA	244399	D006255	Rhinitis, Allergic, Seasonal	OTG	NA	Hayfever, allergic rhinitis or eczema | blood clot, dvt, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor	https://genetics.opentargets.org/study/NEALE2_6152_9	2018	NA	NA	0.0120983478600234	0.84	1	Launched	0.84	1	GWAS	NA	1.1903802517949318	3	infection	both	unsupported target	Launched
IL2RA-D002289	0.773	3	IL2RA-D002289	IL2RA	D002289	Carcinoma, Non-Small-Cell Lung	NA	Phase II	Phase II	NA	4	3	TRUE	TRUE	NA	NA	FALSE	NA	244343	D001249	Asthma	OTG	NA	Asthma [conditional]	https://genetics.opentargets.org/study/GCST009720_2	2019	NA	NA	0.105464693665628	0.57	1	Phase II	0.57	1	GWAS	NA	NA	1	oncology	both	unsupported target	II
IL2RA-D002583	0.237	3	IL2RA-D002583	IL2RA	D002583	Uterine Cervical Neoplasms	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	244401	D006402	Hematologic Diseases	OTG	NA	Lymphocyte percentage of white cells	https://genetics.opentargets.org/study/GCST004632	2016	NA	NA	0.0793506493506494	0.75	1	Phase II	0.75	1	GWAS	0.03780895	NA	2	oncology	gwas	unsupported target	II
IL2RA-D003093	0.882	3	IL2RA-D003093	IL2RA	D003093	Colitis, Ulcerative	NA	Phase II	Phase II	NA	4	3	TRUE	TRUE	NA	NA	TRUE	NA	244467	D015212	Inflammatory Bowel Diseases	OTG	NA	Inflammatory bowel disease	https://genetics.opentargets.org/study/GCST001725	2012	NA	NA	0.155714285714286	0.79	1	Phase II	0.79	1	GWAS	NA	1.1020000000000003	1	digestive	both	genetically supported target	II
IL2RA-D004938	0.475	3	IL2RA-D004938	IL2RA	D004938	Esophageal Neoplasms	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	244467	D015212	Inflammatory Bowel Diseases	OTG	NA	Inflammatory bowel disease	https://genetics.opentargets.org/study/GCST001725	2012	NA	NA	0.155714285714286	0.79	1	Phase II	0.79	1	GWAS	NA	1.1020000000000003	2	oncology	both	unsupported target	II
